,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,4,1.0589075951075726,0.05773744317377633,0.14311905369758937,1.1387795645171142,0.16860018795270765,0.3546582441505733,0.9999497296189487,0.9808725931042047
$\Mjb$,20 pb,4,1.4113390571262407,0.10595584880336291,0.139462339325047,1.0742568917108424,0.14043517718183973,1.16371552442508,0.14278601573781327,0.9546456234311699
$\Mbb$,20 pb,4,1.1963364975171225,0.2555010488228463,0.13248095733091145,0.9156581374361682,0.12233187656546668,0.6165189836934808,0.25554324574488463,0.9528326306957842
$\Mje$,20 pb,4,1.2991611017039268,0.1590425391677455,0.13416713575597028,0.9732925780098712,0.22506262154455392,1.1509361708581207,0.6232226833841785,0.9805473825728227
$\Mjm$,20 pb,4,0.9359723853049827,0.13293813947335065,0.08766035311034713,0.602255025472919,0.09549239651782598,1.67290745428604,0.8116596409518748,0.9801277608792363
$\Mjg$,20 pb,4,0.9463058822224151,0.31483194630690453,0.19862317720466352,1.123782333043477,0.24142229538989596,0.8579620298630106,0.025222108342924186,0.9572251656911495
$\Mbe$,20 pb,4,1.3080155185863662,0.3773636037769279,0.15179746865976798,0.9822196873808924,0.20374500091209913,1.1256944966779368,0.11719193710475713,0.9548751495187693
$\Mbm$,20 pb,4,1.1488945303374603,0.363420953298595,0.22541599517063762,1.2207428289782694,0.42298074638476296,1.1904304286129164,0.17934103477386182,0.9813357495768144
$\Mbg$,20 pb,4,1.5017061597036012,0.7166194989302214,0.3330236634589619,1.446919162127981,0.5189950913129058,0.4271924107194712,0.0023326766183587285,0.9561151582419218
