,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,4,0.8769772729487342,0.13945449958207554,0.12329862475636878,0.9973470411007638,0.1347300357808916,0.7338287420547391,0.9471300794420804,0.9869905386710878
$\Mjb$,20 pb,4,0.9564264789960003,0.18272082050625535,0.19420182301824307,1.0655258996569228,0.2801232339531128,0.7401038122785119,0.6414050179700823,0.9413323754723495
$\Mbb$,20 pb,4,1.5005468567325049,0.8308648324310262,0.251784826279937,1.2017112522174365,0.2625235065328917,0.7078932807088805,0.00045727517598534396,0.8734040533563107
$\Mje$,20 pb,4,2.2928842680791734,-0.09513120347108836,0.27620117116780407,1.8459653432270506,0.43111574077453596,1.0040320857024074,0.2349483137995468,0.9932015097695562
$\Mjg$,20 pb,4,1.2369632428058608,-0.1506575460095011,0.1273273902641454,1.0362292522323995,0.1411456849183753,0.8432348681732641,0.9688767531474269,0.9939483193033021
$\Mbe$,20 pb,4,1.0063807935432645,0.21608317915074965,0.2436573624358943,1.289200015652754,0.28056503422398704,1.1283834124856722,0.4594700403572068,0.951806860442628
$\Mbg$,20 pb,4,0.8590678337107065,0.3817465451063591,0.09354996782224549,0.6554502211760752,0.09731956053654467,1.0496828273332253,0.32309219081661084,0.9400238874256416
