,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,1 pb,4,1.0221320741498532,0.10570167320878662,0.16773578408780912,1.0530819099076612,0.15327111105305885,0.8395369491827672,0.3086438730877301,0.9780674488694729
$\Mjb$,1 pb,4,0.9222789846624881,-0.07419972839437863,0.13427176992762896,0.9977890891071084,0.12777688106209983,1.3719099479478436,0.686471197828141,0.9856671237645708
$\Mbb$,1 pb,4,0.7099702926416843,0.15639316580443438,0.11946838771912943,0.8834447725013759,0.10732051957209532,0.2065196603355405,0.1626861907839029,0.9812806061439505
$\Mje$,1 pb,4,1.111753354983798,0.3229950767723609,0.11416669014835512,0.9316328455275993,0.14712030398532344,0.8068601829429848,0.3043592814899476,0.9519567246712479
$\Mjm$,1 pb,4,1.5555359708069307,0.8762586419000923,0.13868584861938027,0.8544208252731419,0.2657821691856777,1.4964225773698143,1.4508592122419334e-05,0.9102867124036202
$\Mjg$,1 pb,4,1.0689616434579705,0.3127163993309519,0.18043433568822406,1.165487588202442,0.3624103006967127,1.4197740219114385,0.493023058604442,0.9739902848601174
$\Mbe$,1 pb,4,2.00766616628442,0.9641705370762282,0.1685526346802598,0.9799301936399283,0.18925411025938443,1.2675687153027317,5.0132505991411137e-08,0.8988343048615701
$\Mbm$,1 pb,4,1.281002447149853,0.6659290329587533,0.12938154756043985,0.7517225575312683,0.22739838092262166,1.0660461163663806,0.0046057648485285365,0.9664005969317228
$\Mbg$,1 pb,4,1.282446692311208,0.40494560867854346,0.12989751316843037,0.878307870422649,0.16875283598316637,0.5666774396699416,0.050554878981636464,0.9571565961887137
