,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,6,0.952600987696788,0.1538074031305585,0.14239439601879675,1.0965907321645143,0.12793109356729815,0.7793707935866024,0.6707263445224203,0.9767930415739896
$\Mjb$,20 pb,6,1.3039518767531413,0.3467252774716552,0.11421338737156563,0.8947785491089475,0.15244017115195763,1.132020678860267,0.5375012602788612,0.977554977186115
$\Mbb$,20 pb,6,1.165856140360518,0.11905410437545733,0.20633137448477612,1.1833275376228325,0.2265225890390471,1.1161276332246695,0.10301121721125152,0.9623841551488791
$\Mje$,20 pb,6,1.1656958198641736,-0.0009601190399092608,0.2735736800007555,1.3041674591650942,0.3185363324877344,1.192807667445259,0.2932465499167849,0.9816352825076353
$\Mjm$,20 pb,6,0.9723326149574176,-0.13560855503239277,0.16588390648646562,0.9678761139408391,0.23338616315148453,1.7703610425844454,0.8644773709526656,0.9760103489059531
$\Mjg$,20 pb,6,0.9785526670020273,0.3115054926237495,0.143590283320292,0.9222783753555291,0.16728298320118867,0.7253806467498778,0.025222108342924186,0.9458803909521686
$\Mbe$,20 pb,6,0.9877337688645305,0.25388824288321526,0.15705752736685877,1.059844388302305,0.15417034377237243,0.751299670066539,0.12480452912556773,0.9773188409083834
$\Mbg$,20 pb,6,1.5436345988925901,0.5812196469587979,0.3570473116641721,1.301696428516162,0.6406544257967366,0.8055189368766301,0.001995391688332211,0.9563093875993374
