,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,6,0.8867701441077638,0.12496859800154139,0.1502020735038037,1.0200035398903378,0.14435968705780633,0.603995747011799,0.9994259353323126,0.987040365526026
$\Mjb$,20 pb,6,0.9700407252294239,0.13279847114033447,0.18139949859773735,0.9908662985265869,0.19306507649149962,1.067195532502489,0.3682887773693973,0.9417133129191204
$\Mbb$,20 pb,6,1.3774935388556824,0.2865522851387506,0.15206620396581022,0.790843763493786,0.3290215993280321,1.0557686062389802,0.026333611412710005,0.8945167322253816
$\Mje$,20 pb,6,1.1467079458747562,0.20850048767076504,0.14762411936308842,1.117575189062987,0.16831031041388766,1.1270390608842162,0.7923317774761787,0.9901264283698459
$\Mjg$,20 pb,6,0.9701864039024891,0.2740022605531207,0.14026504858704758,1.053894719370681,0.14768595338524143,0.8831634652581118,0.2792330944681268,0.9664669630588966
$\Mbe$,20 pb,6,0.936243812904866,-0.056724064027643004,0.24562869965141562,1.218608418262673,0.2538200477735136,1.948753959576575,0.19983968507705052,0.9710812429030795
$\Mbg$,20 pb,6,0.7774050512684609,0.05290933321667821,0.153459309728344,0.9494711707135759,0.14744956624108324,1.081516888389921,0.6409114631181532,0.9657822833711107
