,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,10 pb,4,1.1492136847569105,0.07613091178030264,0.1621054253658938,1.234630788371788,0.13685803942805508,0.8063037428427868,0.9545886513322022,0.9946066705741496
$\Mjb$,10 pb,4,0.9866250799907783,0.06395469705024112,0.1428885822594252,0.9763803117160036,0.15498345368966548,0.7114276558753101,0.8859224891206794,0.9867077228667205
$\Mbb$,10 pb,4,1.1733653766759242,-0.033765370580642926,0.3997598335232696,1.1450540846379111,0.45740194603186113,1.338408905990778,0.0013487544404554054,0.893240234392652
$\Mje$,10 pb,4,1.8434036397074514,0.23272733722713163,0.14013435837883154,1.2023951380344737,0.14272134758942956,0.5993703962187336,0.399819325617565,0.9478407756335578
$\Mjg$,10 pb,4,0.7394660580158366,0.21699333005156374,0.10102706301150954,0.8205797892582387,0.0980146705962372,1.0195632745827647,0.6306693611397636,0.9864524723641315
$\Mbe$,10 pb,4,1.112630295554308,0.1775398845981062,0.13422868662998746,0.9762745112977967,0.13045364306397866,0.6798007604225301,0.6105616695376185,0.9728155563189602
$\Mbg$,10 pb,4,0.8631056771905357,0.3738304750846776,0.11972334300586873,0.7738797505332075,0.1436712699062921,1.0606218440295823,0.29292946535294573,0.9528813108209908
