,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,10 pb,4,1.058559359961869,-0.03484934868857816,0.14884795439925685,1.0507783843123448,0.1510459697765285,1.0047989647733544,0.7693813156393043,0.9741081114574114
$\Mjb$,10 pb,4,1.5332826124160897,0.3108289512189088,0.1449018775494415,1.1727502603718931,0.13706633605105922,0.5688747375648324,0.33975429614360114,0.9373308329327161
$\Mbb$,10 pb,4,1.2457210058285606,0.39847795173266476,0.1555978945262979,0.9253424360678184,0.22889272472016325,0.742814455912926,0.06327179434774866,0.9391955850445016
$\Mje$,10 pb,4,1.4239741135696697,0.19642179936168408,0.13073567710082618,0.9075662641380454,0.18067983480216004,0.8749933699766128,0.6105616695376185,0.9844662806434128
$\Mjm$,10 pb,4,0.9540539419729576,0.267345776467906,0.1091622212880328,0.7425047104536734,0.13463006373190367,0.7775267922981741,0.34930468500713974,0.9451727858861961
$\Mjg$,10 pb,4,0.8585816395324497,0.2943707442888884,0.1793955322741189,1.0857263781879352,0.26995606344066514,0.6924505152795624,0.17080139077748532,0.9824510626745706
$\Mbe$,10 pb,4,1.692151757751458,0.4190544030899068,0.34751264594940956,1.6424232408474257,0.6382722944099763,0.6911930477493924,0.006548396749459844,0.9519739640436634
$\Mbm$,10 pb,4,1.495588008006835,0.6701899043593531,0.39694204120161514,1.6142507206064591,0.4604556535966364,0.6223916661312224,0.10358810416883993,0.9680026599433789
$\Mbg$,10 pb,4,1.5110048113958112,2.204140703887092,3.883809831835238,3.307927435184386,3.042509946965784,0.857380565636521,0.0006659316109258995,0.9656304236100652
