,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,10 pb,4,1.350224596377051,0.1882492135497287,0.11876581623571975,1.000242961601875,0.11873769213308721,0.6686673602642003,0.8383543098261826,0.9670029418921433
$\Mjb$,10 pb,4,1.6547577170893755,0.28807317390681497,0.17460903070374445,1.1844958828635677,0.1907222114493461,1.266894536252184,0.20468065764779086,0.9473394444603603
$\Mbb$,10 pb,4,1.339481317098549,0.25930813975990535,0.18455092309341156,1.0606070173789663,0.1984952526001546,1.1152299603831735,0.030365168810372697,0.9314376507262561
$\Mje$,10 pb,4,1.8820630939556637,0.18140570612819717,0.19088162982426896,1.402342698793231,0.21886812151194313,0.9832000631012958,0.1223634517075577,0.9388064377868376
$\Mjm$,10 pb,4,0.9540523414546924,0.2673447853837854,0.10916256651083707,0.7424880530216844,0.1346205769747843,0.7775267891838826,0.34930468500713974,0.9451330173400837
$\Mjg$,10 pb,4,0.7731059253546184,0.0023981058264188394,0.13056954075405827,1.01404141312653,0.13564697454627767,0.46931839264745645,0.7985881652120601,0.9833494718787479
$\Mbe$,10 pb,4,0.972373226948105,0.5455867819643071,0.29159794513883125,1.4144117055940797,0.274837659911341,0.7681237295653782,0.6105616695376185,0.9706310931063964
$\Mbm$,10 pb,4,1.494746373336697,0.7064220801268687,0.42357152003851956,1.64626709724798,0.4876468247163984,0.6633567594298855,0.10358810416883993,0.9677726206010522
$\Mbg$,10 pb,4,0.8245156196455966,0.21806320335895685,0.15691655193688187,0.9650765351130678,0.16388401362707827,0.9148535959862011,0.20039352405329247,0.9621230556995862
