,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,10 pb,6,1.0684435874978233,0.1236423928640802,0.11851801157170738,0.999644109674939,0.10303391687621355,0.5439440057128897,0.9675593133503382,0.9879708075086532
$\Mjb$,10 pb,6,0.9914101794214313,0.16400780364353143,0.13935692157154927,0.9348682900996922,0.12342368586519276,0.7571987740290372,0.6736437330283807,0.9801789623211229
$\Mbb$,10 pb,6,0.995693100807242,0.009781844666111499,0.21721861561291655,1.0459478104993085,0.2636371185842612,1.3458863035939013,0.026333611412710005,0.9193221067591204
$\Mje$,10 pb,6,1.178262294379381,0.15350734564403315,0.1327991183884149,1.0730845774219502,0.13659972733769388,0.680802827591143,0.45544180437492426,0.9790922592822583
$\Mjg$,10 pb,6,0.7681195745042593,0.22564911103024127,0.10902518847686896,0.8715185273244346,0.11386637693670387,1.1044751850902057,0.7985881652120604,0.9876720364722836
$\Mbe$,10 pb,6,0.8332792260348308,0.1170431878531097,0.12516470602773996,0.9382022553271899,0.11281332793846555,0.9673020864709329,0.5358725824946998,0.9778192690986877
$\Mbg$,10 pb,6,0.7328500078812361,0.020817647339173035,0.2779820867962847,1.1991505902265593,0.30751513445240497,1.0105170537867634,0.684117066509909,0.9739153855832979
