,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,0.1 pb,5,0.9820263174683284,0.323078243371565,0.14723860388377827,1.05388401862877,0.13773776882960692,0.6114539771900764,0.17856319320679145,0.9848391122980762
$\Mjb$,0.1 pb,5,1.0327551407778757,0.4248028875394874,0.11002208423328667,0.7550369287947732,0.11132926067843524,0.8537578497716057,0.04637926530619596,0.9117159496042436
$\Mbb$,0.1 pb,5,1.1152413279311866,0.5100979876458392,0.18401354961986718,1.0487415848866015,0.2418932189712295,0.5628144877696116,0.33732422889357444,0.9706150232282968
$\Mje$,0.1 pb,5,0.9962029661589946,0.23293683410622057,0.13362539100029655,0.9008505918438765,0.11714555989842201,1.0347303849815896,0.002092081061668737,0.9349816042651685
$\Mjm$,0.1 pb,5,1.1504305246539601,0.4432979029393551,0.17652006246342766,0.7581977551688004,0.23911776176327482,0.8460126280608161,0.017779409028408993,0.8892623065729439
$\Mjg$,0.1 pb,5,0.7640386957644356,0.15888251000045803,0.11808765071952533,0.817064862916666,0.10139120318483202,0.5927389186285213,0.41204462220113014,0.9690303906672074
$\Mbe$,0.1 pb,5,0.7082637998790565,0.18659531301336066,0.2147793762392052,0.9937267922995144,0.22281419183360684,0.7138686705461368,0.3553034009388398,0.9658625679811257
$\Mbm$,0.1 pb,5,0.9850814510298841,0.1390809628859847,0.2857165749246456,1.2490593126109455,0.34650429436905494,0.6455496937925443,0.7235072031962093,0.9506814365640711
$\Mbg$,0.1 pb,5,0.6193784444123267,0.14705917951504885,0.16318936554487476,0.8050344522238966,0.20247053242188423,0.43740708222702873,0.32963997080826735,0.9885314387553146
