,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,5,0.9399356630459429,0.20288038107750164,0.16795967308402115,1.0701814107791605,0.18336955092393742,1.0255945110588007,0.9912723431704675,0.9822706461143015
$\Mjb$,20 pb,5,1.2863315398790929,0.17764905470245723,0.12480256725888354,1.0126520712256688,0.1305955494362584,0.8981151043765657,0.6147337725267638,0.983925712595616
$\Mbb$,20 pb,5,1.093122557085985,0.35891893209820225,0.15891873996765749,1.0147952240221243,0.16552125246062482,1.21928286741129,0.05741961962379564,0.9516575986745699
$\Mje$,20 pb,5,1.257110084836587,0.09981646766055312,0.17701727401440445,1.3048080621325922,0.1895972462006199,1.1011206484238532,0.308833898641549,0.9861692906366085
$\Mjm$,20 pb,5,0.9667833750580747,-0.03497193892919847,0.13697965021185304,0.98174933349959,0.14981540515159547,0.6791934078956392,0.8076492409565482,0.9827341168941339
$\Mjg$,20 pb,5,0.9509752838923723,0.4373683040894625,0.12998015932725593,0.9517663602400479,0.13426910576459078,1.4651257016856654,0.07855298149994128,0.9598045070364306
$\Mbe$,20 pb,5,0.8521284258253272,0.3816782092322059,0.3500125376799527,1.3113410556814202,0.3275137728457578,1.4266659772134547,0.7968931551884526,0.9676717240179555
$\Mbm$,20 pb,5,1.1031662146211931,0.11152437966665887,0.23194180531940614,1.3369722952011343,0.2273438491123827,0.9193421105386506,0.13712726484330243,0.9768889995059972
$\Mbg$,20 pb,5,0.7038050039384603,0.07077653739053702,0.11368759934087193,0.7971206341145056,0.11128055991195401,0.8545723597716647,0.4498067308797637,0.9801263414381827
