,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,5,0.8869724314797574,0.06321522756528604,0.11843812154797208,0.9727920405837832,0.10989483494149971,0.6244827537110633,0.9835737623652508,0.9757813738733213
$\Mjb$,20 pb,5,1.394986696929466,0.29943102032265817,0.0916041639839889,0.7240444214325789,0.10868366988738332,1.4498123658573276,0.2244501177369957,0.9716412899711393
$\Mbb$,20 pb,5,1.0480875567535304,-0.038983976177022,0.7554438205844944,1.6010230955471025,1.0310648613859497,2.034964336638253,0.1917693620912012,0.9609818353666977
$\Mje$,20 pb,5,1.129710363755265,0.16507572422414238,0.1546620746157267,1.085486401587264,0.20683240280910303,0.8484649254404811,0.6105616695376185,0.9847852187964452
$\Mjm$,20 pb,5,0.9662496026822444,0.2888036423393757,0.19379075141057578,1.1124307889649216,0.23762587261525664,1.6449619599647345,0.6932353329247091,0.9750868798172765
$\Mjg$,20 pb,5,0.9983159483114366,0.29271132460574195,0.19143094148573625,1.1177233910314721,0.22526961500906328,0.7532341073325098,0.025222108342924186,0.9577188648987501
$\Mbe$,20 pb,5,0.9663463855793962,0.24400120964514163,0.17260871101678252,1.0866874592186797,0.18375297468484947,0.9161295623670336,0.12480452912556773,0.9738192854072745
$\Mbm$,20 pb,5,1.1044463319725517,0.12815886080594868,0.21994763752632573,1.3045850196507718,0.2121385830058934,0.8090875042960437,0.13712726484330243,0.9766614232892501
$\Mbg$,20 pb,5,1.5295561838558944,0.618483081099794,0.23420897694006906,1.1109890121444275,0.31672188811318863,0.5500507829739333,0.0023326766183587285,0.9561362919491625
