,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,20 pb,5,0.8727950836366424,0.1552344222056887,0.14208873526622606,1.021607859166586,0.13638835447687886,0.4480156194491076,0.9944437257414144,0.9862800752323253
$\Mjb$,20 pb,5,0.9666711744564107,0.18849647369042208,0.19932638787014767,1.0290707536970911,0.21009713652664558,0.930536357024041,0.3682887773693973,0.9426559592609915
$\Mbb$,20 pb,5,1.3646499354627164,0.22064877153592774,0.15071777266546893,0.8256426410434621,0.33769557061342687,0.8709511747337821,0.11038706759779213,0.8984220873669884
$\Mje$,20 pb,5,1.3986660603094205,0.10940974058030058,0.2030136152080264,1.4401844713075158,0.20120499452010532,0.8738097305117554,0.20802039365677166,0.9894951405957887
$\Mjg$,20 pb,5,0.9287538603932604,0.2506868091506661,0.14064987427776185,1.061009308100585,0.14334955798448662,0.9359975517698972,0.3086438730877314,0.9633907542677314
$\Mbe$,20 pb,5,0.9365201820441152,0.06338781674705457,0.139977549060229,1.0162040163773658,0.12553032207208592,0.9326663634805519,0.45947004035720823,0.9636457676735254
$\Mbg$,20 pb,5,0.7436750755023209,0.11779364646183307,0.11299700153756595,0.8344714516276558,0.10486300276378463,0.5243091874197882,0.6841170665099083,0.9816677479660564
