,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,1 pb,5,0.996736130161956,0.2063972687178711,0.12355769411577723,1.0000768979143204,0.11707365309037332,0.6247870197527077,0.40766606636305797,0.9786524755535364
$\Mjb$,1 pb,5,0.9317683990069409,0.02641419244898201,0.12954968701936026,1.0185067954842988,0.11169401170542631,0.8892043161295037,0.8528134819262986,0.9883619091874563
$\Mbb$,1 pb,5,0.7400038822990463,0.25477111655843554,0.10792637219290993,0.7904099498803323,0.09964022119322596,0.7416911025186849,0.12886724913112219,0.9792322459611059
$\Mje$,1 pb,5,1.0797683850778204,0.378016077296041,0.0953343037488013,0.7909948460272254,0.09569702076887276,0.954057887525464,0.22339684795577347,0.9399616227210678
$\Mjm$,1 pb,5,1.2875713859774887,0.36569180748271707,0.19312606857187534,1.0917679873844708,0.2378063069829739,1.4120790769460723,0.0016346348896096627,0.9289431673710732
$\Mjg$,1 pb,5,1.081601361653443,0.5200534476964694,0.20667982911115348,1.1575015470163315,0.409197778137303,1.705933246496934,0.297592100077204,0.9723058852299927
$\Mbe$,1 pb,5,1.7775075511569862,0.8010226789032195,0.2805861113197437,1.5181618376548747,0.3052430474657917,1.1289365778170668,7.037994965656107e-07,0.925694227876201
$\Mbm$,1 pb,5,1.3051676256398448,0.6505564358803262,0.14494353408171695,0.7403827158878203,0.2639015261359898,1.2029234585207778,0.0019450575412778832,0.9651392399672795
$\Mbg$,1 pb,5,1.252324787565099,0.4632967815437953,0.13766964977495,0.8288736578287951,0.2766033900788142,1.000151295096132,0.07015871139424285,0.9685730346681025
