,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,10 pb,5,1.0778225155726682,-0.05228156121307712,0.1474467360437559,1.141123352848404,0.13391891063924577,0.3775026901138291,0.8073981125084365,0.9903242152249974
$\Mjb$,10 pb,5,0.9888339568848212,0.17412921322499164,0.1515120791927682,0.9973652590118197,0.17468331535490533,0.5016996411851555,0.85483471500797,0.9851087178510105
$\Mbb$,10 pb,5,0.9681664203037438,0.36266634435447553,0.12092191809245915,0.5823216977679946,0.16314620636163685,1.257160211437227,0.025514946501935403,0.9069519020871102
$\Mje$,10 pb,5,1.2449076067262206,0.1683436960939841,0.11935498356126052,1.0303373825455386,0.10816205462317158,0.5850190663752939,0.45544180437492426,0.9765494816695215
$\Mjg$,10 pb,5,0.7531668067761937,0.06276257441928038,0.12172339362364282,0.946354820726829,0.13434734833371892,1.1706834744322134,0.6306693611397636,0.9858334643505542
$\Mbe$,10 pb,5,0.8226476104585099,0.18943009586402873,0.1149776022633722,0.9091299839926923,0.09936896610605167,0.554428428566797,0.7186136953412551,0.9776039245356831
$\Mbg$,10 pb,5,0.691744840855503,0.17711969374947986,0.1259384526308276,0.8813080821859632,0.1067077525789416,0.38458508854746093,0.7685384996457111,0.9841712084860796
