,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,10 pb,5,1.00959175593057,0.14568345805557142,0.12246300917089102,0.9868353784937717,0.10940912381755447,0.8417480501118423,0.9158702144159517,0.9783460817371337
$\Mjb$,10 pb,5,1.195392203008703,0.16756991092392523,0.16975494735892718,1.1946222607281893,0.21012645358721171,1.1418648412868064,0.4492028987752892,0.9916120858201014
$\Mbb$,10 pb,5,0.9031776291943676,0.3142449584696114,0.10578055561197086,0.8004640395568856,0.0942295346534599,0.5155023537091561,0.3026497808742983,0.954690637721809
$\Mje$,10 pb,5,1.2260979439039512,0.1850497865964897,0.1269402544193587,0.9895086205753003,0.11293205807500228,1.166452387986067,0.45544180437492426,0.9757485009829093
$\Mjm$,10 pb,5,0.9693841317411434,0.40282130922247295,0.13521572333391257,0.9239379834202962,0.1334189404418632,0.8083350047224437,0.06148034733236655,0.9363380463913118
$\Mjg$,10 pb,5,0.781334337123799,0.028169530991965855,0.13037496988268665,1.0046693155004676,0.13837630380822719,0.5906845371598183,0.6306693611397636,0.9838251920828585
$\Mbe$,10 pb,5,0.7959314841113714,0.3319661172908977,0.1887017535713959,1.0921563286420044,0.17705737421802098,0.6718567090267652,0.931748986690244,0.9739602634512269
$\Mbm$,10 pb,5,1.115613985986011,0.5948711032899271,0.411938929710959,1.5183649133280521,0.4405384507721578,0.7444760184850878,0.36555299235310496,0.9763482353557765
$\Mbg$,10 pb,5,0.6969457656861481,0.06338663404116815,0.12063901380130247,0.86011307047566,0.10488914358907575,0.4021234400623039,0.9265488496543713,0.9876527402088091
