,region,p,chi2,Pull_mu,Pull_deltamu,Pull_sigma,Pull_deltasigma,Pull_chi2,Pull_KS,Pull_Shapiro
$\Mjj$,0.1 pb,4,1.0669812431481058,0.4390520687526264,0.1542396418958502,1.0667250746652996,0.1685301724134604,0.520638663600678,0.11410504120123666,0.9826095510673306
$\Mjb$,0.1 pb,4,1.0303255769315152,0.4785546536974825,0.10780623940041839,0.7069631807982549,0.10846603298874252,1.092363729175134,0.05400673526770491,0.9133770275404918
$\Mbb$,0.1 pb,4,1.104343876141316,0.4764004574397287,0.40556477293774945,1.478378793153536,0.5073291992412636,0.6075582173403795,0.10423458253648608,0.9675009206057519
$\Mje$,0.1 pb,4,0.9889516871941952,0.5271184147650196,0.08766463824969754,0.6477286073070194,0.09151844754818728,0.7737446734080249,0.008889496034230322,0.9343365190522502
$\Mjm$,0.1 pb,4,1.2478517909165612,0.6881176346795823,0.12031111908655738,0.7107193006729627,0.13155602148188456,0.9581691727904345,0.012524344945911405,0.8944886786086822
$\Mjg$,0.1 pb,4,0.7666720725177375,0.32589884128435864,0.10451405603697883,0.7128734568934874,0.10387810082014332,0.9949391793243063,0.09320478032083152,0.9584850301023324
$\Mbe$,0.1 pb,4,0.689805652040109,0.222383061092951,0.1791620877711599,0.9114926361041297,0.18328532524150892,0.34103973204080396,0.3553034009388398,0.965578769901721
$\Mbm$,0.1 pb,4,0.9943005129304543,0.5776326836516338,1.529994703351285,2.1937725111684863,1.5970877557004828,1.42672594025541,0.09103582184311419,0.9349482783550052
$\Mbg$,0.1 pb,4,0.5327389993078537,0.12334295485860798,0.15307969678087827,0.7619045955243843,0.15757019478705953,0.3732112800359281,0.5091196722127026,0.9826941859567415
